               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065984,            0.063022,              0.0286,             0.81461,             0.42968,              0.4714,             0.26809,            0.035634,            0.027998,            0.024379,            0.070023,           0.0033307,           0.0033307
                   1,            0.049206,             0.05034,            0.011458,             0.73181,             0.57469,             0.61183,             0.33884,            0.031729,             0.02446,            0.012403,            0.039968,           0.0066091,           0.0066091
                   2,            0.044957,            0.047345,           0.0076323,             0.71976,             0.64742,             0.68862,             0.38851,             0.03073,            0.023935,           0.0086573,           0.0098584,           0.0098325,           0.0098325
                   3,            0.041527,             0.04739,           0.0061642,             0.72264,             0.70742,              0.7251,             0.44072,            0.028057,             0.02259,           0.0042074,           0.0097525,           0.0097525,           0.0097525
                   4,            0.038324,            0.044876,           0.0050699,              0.7679,              0.6873,             0.76473,             0.47802,            0.027265,            0.022133,             0.00363,           0.0097525,           0.0097525,           0.0097525
                   5,            0.036324,            0.042865,           0.0049386,             0.75978,             0.73668,             0.78785,             0.50028,            0.027022,             0.02131,           0.0028235,             0.00967,             0.00967,             0.00967
                   6,            0.035128,            0.042616,           0.0041717,             0.76881,             0.76622,             0.79354,              0.5023,            0.024565,            0.020168,            0.002923,           0.0095875,           0.0095875,           0.0095875
                   7,            0.033559,            0.040761,           0.0037921,             0.74542,             0.76797,             0.79329,             0.51328,            0.025548,            0.020627,           0.0020816,            0.009505,            0.009505,            0.009505
                   8,            0.032952,            0.040206,           0.0032496,             0.79642,             0.77281,             0.81482,             0.53406,            0.024314,            0.019539,           0.0019245,           0.0094225,           0.0094225,           0.0094225
                   9,            0.031792,            0.039541,           0.0032098,             0.77901,             0.79615,             0.82091,             0.52665,             0.02487,            0.019722,           0.0021609,             0.00934,             0.00934,             0.00934
                  10,            0.031545,            0.039325,           0.0031609,             0.79325,             0.80188,             0.83699,             0.54527,            0.025029,             0.01937,            0.001398,           0.0092575,           0.0092575,           0.0092575
